Marca,Desc_Producto,Precio,URL_Producto
WD, Red Plus 6TB NAS Hard Disk Drive - 5640 RPM Class SATA 6Gb/s| CMR| 128MB Cache| 3.5 Inch - WD60EFZX, 116, https://www.newegg.com/red-plus-wd60efzx-6tb/p/N82E16822234465?Description=HDD&cm_re=HDD-_-22-234-465-_-Product
Seagate, BarraCuda ST3000DM007 3TB 5400 RPM 256MB Cache SATA 6.0Gb/s 3.5" Hard Drives, 75, https://www.newegg.com/seagate-barracuda-st3000dm007-3tb/p/1Z4-002P-008Y2?Description=HDD&cm_re=HDD-_-1Z4-002P-008Y2-_-Product
WD, Red Plus 12TB NAS Hard Disk Drive - 7200 RPM Class SATA 6Gb/s| CMR| 256MB Cache| 3.5 Inch - WD120EFBX, 279, https://www.newegg.com/red-plus-wd120efbx-12tb/p/N82E16822234466?Description=HDD&cm_re=HDD-_-22-234-466-_-Product
Seagate, FireCuda Gaming SSHD 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive ST2000DX002, 69, https://www.newegg.com/seagate-firecuda-st2000dx002-2tb-mlc/p/N82E16822178996?Description=HDD&cm_re=HDD-_-22-178-996-_-Product
WD, Gold 16TB Enterprise Class Hard Disk Drive - 7200 RPM Class SATA 6Gb/s 512MB Cache 3.5 Inch - WD161KRYZ, 315, https://www.newegg.com/gold-wd161kryz-16tb/p/N82E16822234421?Description=HDD&cm_re=HDD-_-22-234-421-_-Product
WD, Black 10TB Performance Desktop Hard Disk Drive - 7200 RPM SATA 6Gb/s 256MB Cache 3.5 Inch - WD101FZBX, 329, https://www.newegg.com/black-wd101fzbx-10tb/p/N82E16822234427?Description=HDD&cm_re=HDD-_-22-234-427-_-Product
Seagate, IronWolf 10TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s CMR 3.5" Internal HDD for RAID Network Attached Storage ST10000VN0008 - OEM, 229, https://www.newegg.com/seagate-ironwolf-st10000vn0008-10tb/p/1JW-001N-00023?Description=HDD&cm_re=HDD-_-1JW-001N-00023-_-Product
Seagate, IronWolf Pro 10TB NAS Hard Drive 7200 RPM 256MB Cache CMR SATA 6.0Gb/s 3.5" Internal HDD ST10000NE0008, 245, https://www.newegg.com/seagate-ironwolf-pro-st10000ne0008-10tb/p/1JW-001N-00026?Description=HDD&cm_re=HDD-_-1JW-001N-00026-_-Product
Seagate, IronWolf 12TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s CMR 3.5" Internal HDD for RAID Network Attached Storage ST12000VN0008, 219, https://www.newegg.com/seagate-ironwolf-st12000vn0008-12tb/p/1JW-001N-00027?Description=HDD&cm_re=HDD-_-1JW-001N-00027-_-Product
Seagate, 14TB HDD Exos X16 7200 RPM SATA 6Gb/s 256MB Cache 3.5-Inch Enterprise Hard Drive — ST14000NM001G, 199, https://www.newegg.com/Seagate-Exos-X16-ST14000NM001G-14TB/p/1Z4-002P-022E7?cm_sp=SH-_-1049305-_-8-_-6-_-9SIA994CGR8470-_-HDD-_-hdd-_-1&Item=9SIA994CGR8470
Seagate, Exos 16TB Enterprise HDD X18 SATA 6Gb/s 512e/4Kn 7200 RPM 256MB Cache 3.5" Internal Hard Drive (ST16000NM000J), 269, https://www.newegg.com/Seagate-Exos-X18-ST16000NM000J-16TB-Hard-Drive/p/1Z4-002P-02326?cm_sp=SH-_-1049305-_-8-_-6-_-9SIA994GV68736-_-HDD-_-hdd-_-2&Item=9SIA994GV68736
Seagate, 16TB HDD Exos X16 7200 RPM SATA 6Gb/s 256MB Cache 3.5-Inch Enterprise Hard Drive — ST16000NM001G, 244, https://www.newegg.com/Seagate-Exos-X16-ST16000NM001G-16TB/p/1Z4-002P-022G3?cm_sp=SH-_-1049305-_-8-_-6-_-9SIA994E4T6344-_-HDD-_-hdd-_-3&Item=9SIA994E4T6344
WD_Black, 6TB Gaming Performance Internal Hard Drive HDD - 7200 RPM| 128 MB Cache| SATA Gb/s| 3.5" - WD6004FZWX - OEM, 159, https://www.newegg.com/black-wd6004fzwx-6tb/p/N82E16822234501?Description=HDD&cm_re=HDD-_-22-234-501-_-Product
WD, Blue 3TB Desktop Hard Disk Drive - 5400 RPM SATA 6Gb/s 256MB Cache 3.5 Inch - WD30EZAZ - OEM, 57, https://www.newegg.com/blue-wd30ezaz-3tb/p/N82E16822234468?Description=HDD&cm_re=HDD-_-22-234-468-_-Product
Seagate, IronWolf Pro 16TB NAS Hard Drive 7200 RPM 256MB Cache CMR SATA 6.0Gb/s 3.5" Internal HDD ST16000NE000, 346, https://www.newegg.com/seagate-ironwolf-pro-st16000ne000-16tb/p/N82E16822184804?Description=HDD&cm_re=HDD-_-22-184-804-_-Product
Seagate, IronWolf Pro 18TB NAS Hard Drive 7200 RPM 256MB Cache CMR SATA 6.0Gb/s 3.5" Internal HDD ST18000NE000 - OEM, 419, https://www.newegg.com/seagate-st18000ne000-18tb/p/N82E16822184872?Description=HDD&cm_re=HDD-_-22-184-872-_-Product
Toshiba, 16TB Enterprise HDD SATA 6.0Gb/s 512e 7200 RPM 512MB Cache 3.5" Internal Hard Drive MG08ACA16TE, 269, https://www.newegg.com/toshiba-mg08aca16te-16tb/p/1Z4-000B-00FR7?Description=HDD&cm_re=HDD-_-1Z4-000B-00FR7-_-Product
WD, Gold 12TB Enterprise Class Hard Disk Drive - 7200 RPM Class SATA 6Gb/s 256MB Cache 3.5 Inch - WD121KRYZ - OEM, 314, https://www.newegg.com/gold-wd121kryz-12tb/p/N82E16822232560?Description=HDD&cm_re=HDD-_-22-232-560-_-Product
WD, Red Plus 8TB CMR NAS Hard Drive HDD - 5640 RPM| SATA 6 Gb/s| 128MB Cache| 3.5" - WD80EFZZ, 196, https://www.newegg.com/red-plus-wd80efzz-8tb/p/N82E16822234504?Description=HDD&cm_re=HDD-_-22-234-504-_-Product
Seagate, IronWolf Pro 14TB NAS Hard Drive 7200 RPM 256MB Cache CMR SATA 6.0Gb/s 3.5" Internal HDD ST14000NE0008, 348, https://www.newegg.com/seagate-ironwolf-pro-st14000ne0008-14tb/p/N82E16822184760?Description=HDD&cm_re=HDD-_-22-184-760-_-Product
WD, Gold 18TB Enterprise Class Hard Disk Drive - 7200 RPM Class SATA 6Gb/s 512MB Cache 3.5 Inch - WD181KRYZ, 429, https://www.newegg.com/gold-wd181kryz-18tb/p/N82E16822234420?Description=HDD&cm_re=HDD-_-22-234-420-_-Product
WD, Black 1TB Performance Desktop Hard Disk Drive - 7200 RPM SATA 6Gb/s 64MB Cache 3.5 Inch - WD1003FZEX, 57, https://www.newegg.com/black-wd1003fzex-1tb/p/N82E16822236625?Description=HDD&cm_re=HDD-_-22-236-625-_-Product
Seagate, IronWolf 14TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s CMR 3.5" Internal HDD for RAID Network Attached Storage ST14000VN0008, 297, https://www.newegg.com/seagate-ironwolf-st14000vn0008-14tb/p/N82E16822184759?Description=HDD&cm_re=HDD-_-22-184-759-_-Product
Seagate, Exos X20 ST20000NM007D 20TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive, 471, https://www.newegg.com/seagate-exos-x20-st20000nm007d-20tb/p/N82E16822185011?Description=HDD&cm_re=HDD-_-22-185-011-_-Product
WD, Gold 1TB Enterprise Class Hard Disk Drive - 7200 RPM Class SATA 6Gb/s 128MB Cache 3.5 Inch - WD1005FBYZ, 88, https://www.newegg.com/gold-wd1005fbyz-1tb/p/1Z4-0002-002U9?Description=HDD&cm_re=HDD-_-1Z4-0002-002U9-_-Product
Seagate, Terascale 8TB 512e SATA 6Gb/s 7200 RPM 3.5-Inch Enterprise NAS HDD (ST8000NC0002), 119, https://www.newegg.com/seagate-enterprise-nas-st8000nc0002-8tb/p/1Z4-002P-022N2?Description=HDD&cm_re=HDD-_-1Z4-002P-022N2-_-Product
Seagate, Exos 16TB Enterprise HDD X18 SATA 6Gb/s 512e/4Kn 7200 RPM 256MB Cache 3.5" Internal Hard Drive (ST16000NM000J), 297, https://www.newegg.com/seagate-exos-x18-st16000nm000j-16tb/p/1Z4-002P-022S9?Description=HDD&cm_re=HDD-_-1Z4-002P-022S9-_-Product
WD, Red Pro WD141KFGX 14TB 7200 RPM 512MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive - OEM, 339, https://www.newegg.com/red-pro-wd141kfgx-14tb/p/N82E16822234401?Description=HDD&cm_re=HDD-_-22-234-401-_-Product
Seagate, Exos X16 14TB 7200 RPM SATA 6Gb/s 3.5-Inch Enterprise Hard Drive (ST14000NM001G), 247, https://www.newegg.com/seagate-exos-x16-st14000nm001g-14tb/p/N82E16822184812?Description=HDD&cm_re=HDD-_-22-184-812-_-Product
Seagate, FireCuda ST4000DX005 4TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5" Internal HDD Bare Drive - OEM, 140, https://www.newegg.com/seagate-firecuda-st4000dx005-4tb/p/N82E16822185035?Description=HDD&cm_re=HDD-_-22-185-035-_-Product
WD, Ultrastar DC HC550 18TB Hard Drive 3.5" Internal 512MB SATA 7200 RPM 512E SE NP3 DC HC550 0F38459 (WUH721818ALE6L4), 339, https://www.newegg.com/western-digital-ultrastar-dc-hc550-wuh721818ale6l4-0f38459-18tb/p/1Z4-0002-01CG8?Description=HDD&cm_re=HDD-_-1Z4-0002-01CG8-_-Product
WD, Purple WD82PURZ 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive Bare Drive - OEM, 219, https://www.newegg.com/purple-wd82purz-8tb/p/N82E16822234373?Description=HDD&cm_re=HDD-_-22-234-373-_-Product
WD, Purple Pro WD101PURP 10TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive - OEM, 248, https://www.newegg.com/purple-pro-wd101purp-10tb/p/N82E16822234480?Description=HDD&cm_re=HDD-_-22-234-480-_-Product
Seagate, Exos X16 10TB 7200 RPM SATA 6Gb/s 3.5-Inch Enterprise Hard Drive (ST10000NM001G), 249, https://www.newegg.com/seagate-exos-x16-st10000nm001g-10tb/p/N82E16822184842?Description=HDD&cm_re=HDD-_-22-184-842-_-Product
Toshiba, 12TB Enterprise HDD SATA 6.0Gb/s 512e 7200 RPM 256MB Cache 3.5" Internal Hard Drive MG07ACA12TE, 212, https://www.newegg.com/toshiba-mg07aca12te-12tb/p/1B0-0011-000E7?Description=HDD&cm_re=HDD-_-1B0-0011-000E7-_-Product
Toshiba, 14TB Enterprise HDD SATA 6.0Gb/s 512e 7200 RPM 256MB Cache 3.5" Internal Hard Drive MG07ACA14TE, 239, https://www.newegg.com/toshiba-mg07aca14te-14tb/p/1B0-0011-000E0?Description=HDD&cm_re=HDD-_-1B0-0011-000E0-_-Product
WD, Red Plus 3TB NAS Hard Disk Drive - 5400 RPM Class SATA 6Gb/s| CMR| 128MB Cache| 3.5 Inch - WD30EFZX - OEM, 69, https://www.newegg.com/red-plus-wd30efzx-3tb/p/N82E16822234464?Description=HDD&cm_re=HDD-_-22-234-464-_-Product
WD, Red Pro 10TB NAS Hard Disk Drive - 7200 RPM Class SATA 6Gb/s 256MB Cache 3.5 Inch - WD102KFBX, 289, https://www.newegg.com/red-pro-wd102kfbx-10tb/p/1Z4-0002-01C58?Description=HDD&cm_re=HDD-_-1Z4-0002-01C58-_-Product
WD, Red Plus 4TB NAS Hard Disk Drive - 5400 RPM Class SATA 6Gb/s| CMR| 128MB Cache| 3.5 Inch - WD40EFZX, 91, https://www.newegg.com/red-plus-wd40efzx-4tb/p/1B4-005X-001D3?Description=HDD&cm_re=HDD-_-1B4-005X-001D3-_-Product
WD, Red Pro NAS Hard Drive WD2002FFSX - Internal Hard Drive - 2 TB - 3.5" - SATA 6Gb/s - 7200 rpm - Buffer: 64 MB - OEM, 84, https://www.newegg.com/red-pro-wd2002ffsx-2tb/p/1Z4-0002-002R5?Description=HDD&cm_re=HDD-_-1Z4-0002-002R5-_-Product
WD, Red Pro WD161KFGX 16TB 7200 RPM 512MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive, 324, https://www.newegg.com/red-pro-wd161kfgx-16tb/p/N82E16822234429?Description=HDD&cm_re=HDD-_-22-234-429-_-Product
Seagate, IronWolf ST6000VN001 6TB 5400 RPM 256MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive Bare Drive, 120, https://www.newegg.com/seagate-ironwolf-st6000vn001-6tb/p/N82E16822184840?Description=HDD&cm_re=HDD-_-22-184-840-_-Product
Seagate, Exos 12TB Enterprise HDD SATA 6Gb/s 512e/4Kn 7200 RPM 256MB Cache 3.5" Internal Hard Drive ST12000NM001G, 216, https://www.newegg.com/seagate-exos-x16-st12000nm001g-12tb/p/2WA-000W-003A8?Description=HDD&cm_re=HDD-_-2WA-000W-003A8-_-Product
Seagate, Constellation ES.3 ST4000NM0033 4TB 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5" Enterprise Internal Hard Drive Bare Drive, 65, https://www.newegg.com/seagate-constellation-es-3-st4000nm0033-4tb/p/N82E16822178307?Description=HDD&cm_re=HDD-_-22-178-307-_-Product
Seagate, 18TB Exos X18 7200 RPM SAS 12Gb/s 512e/4Kn 256MB Cache 3.5-Inch Enterprise Hard Drive HDD (ST18000NM004J), 360, https://www.newegg.com/seagate-exos-x18-st18000nm004j-18tb/p/1B4-00VK-00617?Description=HDD&cm_re=HDD-_-1B4-00VK-00617-_-Product
WD, Purple WD84PURZ 8TB 5640 RPM 128MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive Bare Drive, 197, https://www.newegg.com/western-digital-purple-wd84purz-8tb/p/1Z4-0002-01CK2?Description=HDD&cm_re=HDD-_-1Z4-0002-01CK2-_-Product
WD, Gold 4TB Enterprise Class Hard Disk Drive - 7200 RPM Class SATA 6Gb/s 256MB Cache 3.5 Inch - WD4003FRYZ - OEM, 149, https://www.newegg.com/gold-wd4003fryz-4tb/p/1Z4-0002-013V8?Description=HDD&cm_re=HDD-_-1Z4-0002-013V8-_-Product
Seagate, Exos X16 16TB Enterprise HDD 12Gb/s SAS 512e/4Kn 7200 RPM 256MB Cache 3.5" Internal Hard Drive ST16000NM002G, 320, https://www.newegg.com/seagate-exos-x16-st16000nm002g-16tb/p/N82E16822184808?Description=HDD&cm_re=HDD-_-22-184-808-_-Product
Seagate, 14TB HDD Exos X16 7200 RPM SATA 6Gb/s 256MB Cache 3.5-Inch Enterprise Hard Drive — ST14000NM001G, 199, https://www.newegg.com/Seagate-Exos-X16-ST14000NM001G-14TB/p/1Z4-002P-022E7?cm_sp=SH-_-1049305-_-8-_-6-_-9SIA994CGR8470-_-HDD-_-hdd-_-1&Item=9SIA994CGR8470
Seagate, Exos 16TB Enterprise HDD X18 SATA 6Gb/s 512e/4Kn 7200 RPM 256MB Cache 3.5" Internal Hard Drive (ST16000NM000J), 269, https://www.newegg.com/Seagate-Exos-X18-ST16000NM000J-16TB-Hard-Drive/p/1Z4-002P-02326?cm_sp=SH-_-1049305-_-8-_-6-_-9SIA994GV68736-_-HDD-_-hdd-_-2&Item=9SIA994GV68736
Seagate, 16TB HDD Exos X16 7200 RPM SATA 6Gb/s 256MB Cache 3.5-Inch Enterprise Hard Drive — ST16000NM001G, 244, https://www.newegg.com/Seagate-Exos-X16-ST16000NM001G-16TB/p/1Z4-002P-022G3?cm_sp=SH-_-1049305-_-8-_-6-_-9SIA994E4T6344-_-HDD-_-hdd-_-3&Item=9SIA994E4T6344
WD, Purple Pro WD8001PURP 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5" Hard Drives Bare Drive - OEM, 214, https://www.newegg.com/purple-pro-wd8001purp-8tb/p/1Z4-0002-01CR0?Description=HDD&cm_re=HDD-_-1Z4-0002-01CR0-_-Product
WD, Red Pro WD181KFGX 18TB 7200 RPM 512MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive - OEM, 419, https://www.newegg.com/red-pro-wd181kfgx-18tb/p/N82E16822234430?Description=HDD&cm_re=HDD-_-22-234-430-_-Product
WD, Purple 2TB Surveillance Hard Disk Drive - 5400 RPM Class SATA 6Gb/s 64MB Cache 3.5 Inch WD20PURZ - OEM, 59, https://www.newegg.com/purple-wd20purz-2tb/p/N82E16822231533?Description=HDD&cm_re=HDD-_-22-231-533-_-Product
WD, Red Plus 14TB NAS Hard Disk Drive - 7200 RPM Class SATA 6Gb/s| CMR| 512MB Cache| 3.5 Inch - WD140EFGX, NA, https://www.newegg.com/red-plus-wd140efgx-14tb/p/N82E16822234467?Description=HDD&cm_re=HDD-_-22-234-467-_-Product
