Marca,Desc_Producto,Precio,URL_Producto,
Intel," Core i5-11400 - Core i5 11th Gen Rocket Lake 6-Core 2.6 GHz LGA 1200 65W Intel UHD Graphics 730 Desktop Processor - BX8070811400"," 158"," https://www.newegg.com/intel-core-i5-11400-core-i5-11th-gen/p/N82E16819118241?Description=CPU&cm_re=CPU-_-19-118-241-_-Product",
Intel," Core i9-11900K - Core i9 11th Gen Rocket Lake 8-Core 3.5 GHz LGA 1200 125W Intel UHD Graphics 750 Desktop Processor - BX8070811900K"," 397"," https://www.newegg.com/intel-core-i9-11900k-core-i9-11th-gen/p/N82E16819118231?Description=CPU&cm_re=CPU-_-19-118-231-_-Product",
Intel," Core i7-11700K - Core i7 11th Gen Rocket Lake 8-Core 3.6 GHz LGA 1200 125W Intel UHD Graphics 750 Desktop Processor - BX8070811700K"," 317"," https://www.newegg.com/intel-core-i7-11700k-core-i7-11th-gen/p/N82E16819118233?Description=CPU&cm_re=CPU-_-19-118-233-_-Product",
Intel," Core i5-10400F - Core i5 10th Gen Comet Lake 6-Core 2.9 GHz LGA 1200 65W Desktop Processor - BX8070110400F"," 125"," https://www.newegg.com/intel-core-i5-10400f-core-i5-10th-gen/p/N82E16819118132?Description=CPU&cm_re=CPU-_-19-118-132-_-Product",
Intel," Core i9-10900K - Core i9 10th Gen Comet Lake 10-Core 3.7 GHz LGA 1200 125W Intel UHD Graphics 630 Desktop Processor - BX8070110900K"," 389"," https://www.newegg.com/intel-core-i9-10900k-core-i9-10th-gen/p/N82E16819118122?Description=CPU&cm_re=CPU-_-19-118-122-_-Product",
Intel," Core i5-12600KF - Core i5 12th Gen Alder Lake 10-Core (6P+4E) 3.7 GHz LGA 1700 125W Desktop Processor - BX8071512600KF"," 269"," https://www.newegg.com/intel-core-i5-12600kf-core-i5-12th-gen/p/N82E16819118349?Description=CPU&cm_re=CPU-_-19-118-349-_-Product",
Intel," Core i7-11700KF - Core i7 11th Gen Rocket Lake 8-Core 3.6 GHz LGA 1200 125W Desktop Processor - BX8070811700KF"," 298"," https://www.newegg.com/intel-core-i7-11700kf-core-i7-11th-gen/p/N82E16819118260?Description=CPU&cm_re=CPU-_-19-118-260-_-Product",
be," quiet! 250W TDP Dark Rock Pro 4 CPU Cooler with Silent Wings - PWM Fan - 135 mm LGA 1700 Compatible"," 124"," https://www.newegg.com/be-quiet-dark-rock-pro-4-bk022/p/13C-001F-00027?Description=CPU&cm_re=CPU-_-9SIARUXHU34732-_-Product",
Intel," Core i3-12100F - Core i3 12th Gen Alder Lake Quad-Core 3.3 GHz LGA 1700 58W Desktop Processor - BX8071512100F"," 107"," https://www.newegg.com/intel-core-i3-12100f-core-i3-12th-gen/p/N82E16819118357?Description=CPU&cm_re=CPU-_-19-118-357-_-Product",
Intel," Core i7-12700K - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 3.6 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512700K"," 384"," https://www.newegg.com/intel-core-i7-12700k-core-i7-12th-gen/p/N82E16819118343",
AMD," Ryzen 9 5900X - Ryzen 9 5000 Series Vermeer (Zen 3) 12-Core 3.7 GHz Socket AM4 105W Desktop Processor - 100-100000061WOF"," 399"," https://www.newegg.com/amd-ryzen-9-5900x/p/N82E16819113664",
Intel," Core i9-12900K - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512900K"," 614"," https://www.newegg.com/intel-core-i9-12900k-core-i9-12th-gen/p/N82E16819118339",
Intel," Core i9-12900KS - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.4 GHz LGA 1700 150W Intel UHD Graphics 770 Desktop Processor - BX8071512900KS"," 779"," https://www.newegg.com/intel-core-i9-12900ks-core-i9-12th-gen/p/N82E16819118392",
Intel," Core i7-10700F - Core i7 10th Gen Comet Lake 8-Core 2.9 GHz LGA 1200 65W Desktop Processor - BX8070110700F"," 254"," https://www.newegg.com/intel-core-i7-10700f-core-i7-10th-gen/p/N82E16819118131?Description=CPU&cm_re=CPU-_-19-118-131-_-Product",
Intel," Core i9-10850K Comet Lake 10-Core 3.6 GHz LGA 1200 125W  Desktop Processor Intel UHD Graphics 630 - BX8070110850K"," 309"," https://www.newegg.com/intel-core-i9-10850k-core-i9-10th-gen/p/N82E16819118175?Description=CPU&cm_re=CPU-_-19-118-175-_-Product",
AMD," Ryzen 3 3100 - Ryzen 3 3rd Gen Matisse (Zen 2) Quad-Core 3.6 GHz Socket AM4 65W Desktop Processor - 100-100000284BOX"," 163"," https://www.newegg.com/amd-ryzen-3-3100-ryzen-3-3rd-gen/p/N82E16819113649?Description=CPU&cm_re=CPU-_-19-113-649-_-Product",
Intel," Core i5-10600KF - Core i5 10th Gen Comet Lake 6-Core 4.1 GHz LGA 1200 125W Desktop Processor - BX8070110600KF"," 184"," https://www.newegg.com/intel-core-i5-10600kf-core-i5-10th-gen/p/N82E16819118129?Description=CPU&cm_re=CPU-_-19-118-129-_-Product",
